Visit ID,Visit Date,Store ID,Execution Score,On_Shelf,Inventory_Level,Customer ID,Product ID,Sales,Quantity,Price,Planogram_Compliance
1,11/8/2016,CG-12520,74,1,15,CG-12520,FUR-BO-10001798,261.96,2,130.98,1
2,11/8/2016,CG-12520,63,1,14,CG-12520,FUR-CH-10000454,731.94,3,243.98,1
3,6/12/2016,DV-13045,64,1,17,DV-13045,OFF-LA-10000240,14.62,2,7.31,1
4,10/11/2015,SO-20335,99,1,16,SO-20335,FUR-TA-10000577,957.5775,5,191.5155,1
5,10/11/2015,SO-20335,69,0,21,SO-20335,OFF-ST-10000760,22.368,2,11.184,1
6,6/9/2014,BH-11710,71,1,12,BH-11710,FUR-FU-10001487,48.86,7,6.98,0
7,6/9/2014,BH-11710,87,1,22,BH-11710,OFF-AR-10002833,7.28,4,1.82,1
8,6/9/2014,BH-11710,55,1,12,BH-11710,TEC-PH-10002275,907.152,6,151.192,0
9,6/9/2014,BH-11710,52,1,16,BH-11710,OFF-BI-10003910,18.504,3,6.168,0
10,6/9/2014,BH-11710,87,1,16,BH-11710,OFF-AP-10002892,114.9,5,22.98,1
11,6/9/2014,BH-11710,52,1,24,BH-11710,FUR-TA-10001539,1706.184,9,189.576,1
12,6/9/2014,BH-11710,59,1,11,BH-11710,TEC-PH-10002033,911.424,4,227.856,0
13,4/15/2017,AA-10480,59,1,21,AA-10480,OFF-PA-10002365,15.552,3,5.184,1
14,12/5/2016,IM-15070,74,1,8,IM-15070,OFF-BI-10003656,407.976,3,135.992,0
15,11/22/2015,HP-14815,76,0,17,HP-14815,OFF-AP-10002311,68.81,5,13.762,1
16,11/22/2015,HP-14815,64,0,11,HP-14815,OFF-BI-10000756,2.544,3,0.848,1
17,11/11/2014,PK-19075,88,1,17,PK-19075,OFF-ST-10004186,665.88,6,110.98,1
18,5/13/2014,AG-10270,82,0,20,AG-10270,OFF-ST-10000107,55.5,2,27.75,1
19,8/27/2014,ZD-21925,63,1,22,ZD-21925,OFF-AR-10003056,8.56,2,4.28,1
